id,hip,hd,hr,gl,bf,proper,ra,dec,dist,rv,mag,absmag,spect,ci
2331,2337,2630,115,,,,.497748,-14.864109,42.7533,3.,6.15,2.995,F2/F3V,.388,
2347,2353,2637,117,,12    Cet,,.500655,-3.957332,173.913,5.,5.72,-0.482,M0III,1.545,
2349,2355,2628,114,,28    And,,.502045,29.751556,62.7746,-10.,5.2,1.211,A7III,.271,
2371,2377,2626,113,,,,.505534,59.977554,235.8491,-17.,5.94,-0.923,B9IIIn,-0.003,
2375,2381,2696,118,,,,.506293,-23.78768,53.1067,.5,5.17,1.544,A3V,.128,
2377,2383,2726,120,,,,.507242,-48.214909,43.0849,2.,5.67,2.498,F2V,.367,
2382,2388,2724,119,,,,.507729,-40.939587,129.5337,-5.,6.18,.618,F2III,.315,
2416,2422,2589,112,,,,.51511,77.019402,38.506,19.,6.18,3.252,K0IV,.883,
2466,2472,2834,125,,Lam1Phe,,.523594,-48.803513,52.9661,-2.,4.76,1.14,A0V,.018,
2468,2474,2729,121,,13    Cas,,.52367,66.519615,233.1002,-10.,6.18,-0.658,B6V,-0.1,
2469,2475,2767,122,,,,.523787,33.581642,116.144,9.,5.88,.555,K1III...,1.133,
2478,2484,2884,126,,Bet1Tuc,,.525725,-62.958218,41.4079,14.,4.36,1.275,B9V,-0.064,
2479,2487,2885,127,,Bet2Tuc,,.525946,-62.965561,51.6529,10.,4.53,.965,A2V,.147,
2491,2497,2774,124,,,,.528105,52.839527,116.8224,-52.,5.59,.252,K2III,1.163,
2499,2505,2772,123,,14Lam Cas,,.529539,54.522289,115.7407,-12.,4.74,-0.577,B8Vn,-0.098,
2543,2548,2913,132,,51    Psc,,.539939,6.955463,80.9717,17.,5.69,1.148,B9.5V,-0.014,
2562,2568,2910,131,,52    Psc,,.543189,20.294315,80.,-13.,5.38,.865,K0III,1.069,
2572,2578,3003,136,Wo 9015A,Bet3Tuc,,.545512,-63.031502,45.5581,5.,5.07,1.777,A0V,.038,
2577,2583,2942,134,,,,.546969,28.280241,158.4786,-12.,6.26,.26,G8II,.965,
2592,2599,2905,130,,15Kap Cas,,.549997,62.931782,100000.,-2.,4.17,-15.83,B1Ia,.13,
2605,2611,2952,135,,,,.552879,54.894985,114.1553,-35.,5.93,.643,K0III,1.037,
2622,2628,2904,129,,,,.55534,70.981842,151.7451,-10.,6.41,.504,A0Vn,-0.007,
2623,2629,3112,139,,The Tuc,,.556463,-71.266243,130.039,2.,6.11,.54,A7IV,.265,
2655,2661,3059,138,,,,.561401,-29.558277,165.0165,-9.,5.55,-0.538,K1III,1.262,
2657,2663,3074,,,,,.56217,-35.002079,33.1126,28.2,6.41,3.81,F8/G0V,.617,
2701,2707,3038,137,,16    Cas,,.573583,66.750351,189.7533,-16.,6.47,.079,B9III,-0.049,
2705,2711,3158,140,Gl 22.2,,,.574374,-52.373089,25.4842,34.8,5.57,3.539,F3IV-V,.472,
2728,2734,3166,141,,,,.582046,13.371137,109.6491,-19.,6.39,1.19,K0,1.136,
2756,2762,3196,142,Gl 23A,13    Cet,,.587466,-3.592846,21.254,11.2,5.2,3.563,F8V...,.567,
2781,2787,3229,143,,14    Cet,,.592454,-0.50561,54.4959,6.,5.94,2.258,F5IV,.444,
2783,2789,3303,148,,,,.592591,-54.821873,70.7714,-10.,6.04,1.791,K0IV,1.001,
2796,2802,3302,147,NN 3041,Lam2Phe,,.594767,-48.000908,34.8189,7.6,5.51,2.801,F6V,.461,
2826,2832,3268,145,,,,.598557,13.207067,37.5657,-25.,6.32,3.446,F7V,.517,
2840,2846,3325,150,,,,.600877,-14.973035,115.3403,12.,6.45,1.14,K0III,1.063,
2846,2852,3326,151,,,,.601906,-22.842333,48.8759,13.,6.06,2.615,A5m...,.297,
2848,2854,3240,144,,,,.602306,54.168449,164.4737,1.,5.08,-1.,B7III,-0.098,
2870,2876,3283,146,,,,.607595,60.326214,100000.,-9.,5.78,-14.22,A4III,.294,
2882,2889,3444,160,,,,.610449,-65.124443,211.8644,20.,6.43,-0.2,K2/K3III,1.26,
2894,2900,3346,152,,,,.612903,44.488586,189.0359,-33.,5.14,-1.243,K5III,1.587,
2897,2903,3379,155,,53    Psc,,.613142,15.231725,318.4713,-9.,5.89,-1.625,B2.5IV,-0.146,
2906,2912,3369,154,,29Pi  And,,.61468,33.719345,183.4862,9.,4.34,-1.978,B5V,-0.123,
2914,2920,3360,153,,17Zet Cas,,.616188,53.896908,181.8182,2.,3.69,-2.608,B2IV,-0.196,
2920,2926,3411,156,,,,.618664,24.014135,112.7396,-1.,6.18,.92,K2III,1.17,
2931,2937,3488,162,,,,.621727,-54.393818,146.8429,-6.,6.4,.566,K0II/IIICN,.995,
2935,2941,3443,159,Gl 25A,,,.622393,-24.767267,15.4012,18.6,5.57,4.632,K1V+...,.715,
2936,2942,3421,157,,,,.622561,35.399502,259.7403,-0.2,5.45,-1.623,G5III,.886,
2947,2954,3457,161,,,,.625136,3.135351,223.2143,4.,6.43,-0.314,K4III,1.339,
3025,3031,3546,163,,30Eps And,,.642602,29.31175,50.226,-84.,4.34,.835,G5III...,.871,
3050,3056,3605,,,,,.646883,-25.107819,273.9726,0,6.43,-0.759,K4III,1.482,
3077,3083,3574,164,,,,.652748,49.354588,641.0256,-8.,5.45,-3.584,K5III,1.644,
3086,3092,3627,165,,31Del And,,.655462,30.861025,32.352,-7.,3.27,.72,K3III...,1.268,
3087,3093,3651,166,Gl 27,54    Psc,,.656063,21.250471,11.0595,-32.9,5.88,5.661,K0V,.85,
3126,3132,3440,158,,,,.663247,82.493759,33.2557,-33.,6.38,3.771,F6V:,.551,
3130,3137,3750,171,,,,.664428,-44.796291,94.162,8.,6.,1.131,K1IIICN...,1.142,
3132,3138,3690,167,,55    Psc,,.665436,21.438496,127.0648,-17.,5.36,-0.16,F3V...,1.16,
3163,3170,3823,176,Gl 29,,,.673659,-59.454605,24.9563,1.5,5.89,3.904,G1V,.564,
3168,3175,3794,172,,,,.674606,-16.516676,146.4129,48.,6.49,.662,G8III,.91,
3172,3179,3712,168,,18Alp Cas,Shedir,.675116,56.537331,69.979,-4.,2.24,-1.985,K0II-IIIvar,1.17,
3178,3185,3795,173,Gl 27.2,,,.675771,-23.804876,28.885,-50.4,6.14,3.837,G3/G5V,.718,
3186,3193,3807,174,,,,.678437,-4.351841,144.5087,35.,5.9,.101,K0III,1.091,
3224,3231,3817,175,,32    And,,.68533,39.458664,108.8139,-5.,5.3,.117,G8III,.891,
3238,3245,3919,180,,Mu  Phe,,.688766,-46.085007,75.358,19.,4.59,.204,G8III,.953,
